model,layer,task,metric_value,best_timestep
B,res::down_blocks.0.resnets.0,ordinal,0.5558,99
B,res::down_blocks.0.resnets.0,depth,0.1202,999
B,res::down_blocks.0.resnets.0,boundary,0.7500,99
B,res::down_blocks.0.resnets.1,ordinal,0.5715,99
B,res::down_blocks.0.resnets.1,depth,0.1191,999
B,res::down_blocks.0.resnets.1,boundary,0.7438,799
B,res::down_blocks.1.resnets.1,ordinal,0.6440,99
B,res::down_blocks.1.resnets.1,depth,0.1572,299
B,res::down_blocks.1.resnets.1,boundary,0.7448,99
B,res::down_blocks.2.resnets.1,ordinal,0.7422,899
B,res::down_blocks.2.resnets.1,depth,0.1746,799
B,res::down_blocks.2.resnets.1,boundary,0.7518,999
B,res::down_blocks.3.resnets.1,ordinal,0.7309,899
B,res::down_blocks.3.resnets.1,depth,0.1771,199
B,res::down_blocks.3.resnets.1,boundary,0.7432,899
B,res::up_blocks.0.resnets.1,ordinal,0.7302,99
B,res::up_blocks.0.resnets.1,depth,0.1791,499
B,res::up_blocks.0.resnets.1,boundary,0.7475,999
B,res::up_blocks.1.resnets.0,ordinal,0.7391,399
B,res::up_blocks.1.resnets.0,depth,0.1785,399
B,res::up_blocks.1.resnets.0,boundary,0.7523,699
B,res::up_blocks.1.resnets.1,ordinal,0.7457,599
B,res::up_blocks.1.resnets.1,depth,0.1757,99
B,res::up_blocks.1.resnets.1,boundary,0.7468,299
B,res::up_blocks.2.resnets.0,ordinal,0.7243,199
B,res::up_blocks.2.resnets.0,depth,0.1827,899
B,res::up_blocks.2.resnets.0,boundary,0.7456,499
B,res::up_blocks.2.resnets.2,ordinal,0.7163,899
B,res::up_blocks.2.resnets.2,depth,0.1756,299
B,res::up_blocks.2.resnets.2,boundary,0.7468,99
B,res::up_blocks.3.resnets.1,ordinal,0.6713,999
B,res::up_blocks.3.resnets.1,depth,0.1606,499
B,res::up_blocks.3.resnets.1,boundary,0.7446,899
B,res::mid_block.resnets.0,ordinal,0.7388,899
B,res::mid_block.resnets.0,depth,0.1719,199
B,res::mid_block.resnets.0,boundary,0.7437,599
D,res::down_blocks.0.resnets.0,ordinal,0.4474,999
D,res::down_blocks.0.resnets.0,depth,0.1211,999
D,res::down_blocks.0.resnets.0,boundary,0.7432,999
D,res::down_blocks.0.resnets.1,ordinal,0.4823,999
D,res::down_blocks.0.resnets.1,depth,0.1191,999
