model,timestep,task,metric_value,best_layer
B,999,ordinal,0.4432,res::down_blocks.0.resnets.0
B,899,ordinal,0.4282,res::down_blocks.0.resnets.0
B,799,ordinal,0.4421,res::down_blocks.0.resnets.0
B,699,ordinal,0.4290,res::down_blocks.0.resnets.0
B,599,ordinal,0.4616,res::down_blocks.0.resnets.0
B,499,ordinal,0.4880,res::down_blocks.0.resnets.0
B,399,ordinal,0.5125,res::down_blocks.0.resnets.0
B,299,ordinal,0.5245,res::down_blocks.0.resnets.0
B,199,ordinal,0.5341,res::down_blocks.0.resnets.0
B,99,ordinal,0.5558,res::down_blocks.0.resnets.0
B,999,depth,0.1202,res::down_blocks.0.resnets.0
B,899,depth,0.1200,res::down_blocks.0.resnets.0
B,799,depth,0.1125,res::down_blocks.0.resnets.0
B,699,depth,0.1045,res::down_blocks.0.resnets.0
B,599,depth,0.1075,res::down_blocks.0.resnets.0
B,499,depth,0.1001,res::down_blocks.0.resnets.0
B,399,depth,0.1002,res::down_blocks.0.resnets.0
B,299,depth,0.0937,res::down_blocks.0.resnets.0
B,199,depth,0.1011,res::down_blocks.0.resnets.0
B,99,depth,0.0974,res::down_blocks.0.resnets.0
B,999,boundary,0.7450,res::down_blocks.0.resnets.0
B,899,boundary,0.7441,res::down_blocks.0.resnets.0
B,799,boundary,0.7445,res::down_blocks.0.resnets.0
B,699,boundary,0.7460,res::down_blocks.0.resnets.0
B,599,boundary,0.7446,res::down_blocks.0.resnets.0
B,499,boundary,0.7453,res::down_blocks.0.resnets.0
B,399,boundary,0.7467,res::down_blocks.0.resnets.0
B,299,boundary,0.7487,res::down_blocks.0.resnets.0
B,199,boundary,0.7460,res::down_blocks.0.resnets.0
B,99,boundary,0.7500,res::down_blocks.0.resnets.0
B,999,ordinal,0.4987,res::down_blocks.0.resnets.1
B,899,ordinal,0.4972,res::down_blocks.0.resnets.1
B,799,ordinal,0.5016,res::down_blocks.0.resnets.1
B,699,ordinal,0.5050,res::down_blocks.0.resnets.1
B,599,ordinal,0.4991,res::down_blocks.0.resnets.1
B,499,ordinal,0.5180,res::down_blocks.0.resnets.1
B,399,ordinal,0.5264,res::down_blocks.0.resnets.1
B,299,ordinal,0.5522,res::down_blocks.0.resnets.1
B,199,ordinal,0.5559,res::down_blocks.0.resnets.1
B,99,ordinal,0.5715,res::down_blocks.0.resnets.1
B,999,depth,0.1191,res::down_blocks.0.resnets.1
B,899,depth,0.1160,res::down_blocks.0.resnets.1
B,799,depth,0.1141,res::down_blocks.0.resnets.1
B,699,depth,0.1117,res::down_blocks.0.resnets.1
B,599,depth,0.1056,res::down_blocks.0.resnets.1
B,499,depth,0.1009,res::down_blocks.0.resnets.1
B,399,depth,0.1016,res::down_blocks.0.resnets.1
B,299,depth,0.1034,res::down_blocks.0.resnets.1
B,199,depth,0.1051,res::down_blocks.0.resnets.1
B,99,depth,0.1052,res::down_blocks.0.resnets.1
B,999,boundary,0.7419,res::down_blocks.0.resnets.1
B,899,boundary,0.7418,res::down_blocks.0.resnets.1
B,799,boundary,0.7438,res::down_blocks.0.resnets.1
B,699,boundary,0.7428,res::down_blocks.0.resnets.1
B,599,boundary,0.7417,res::down_blocks.0.resnets.1
B,499,boundary,0.7404,res::down_blocks.0.resnets.1
B,399,boundary,0.7428,res::down_blocks.0.resnets.1
B,299,boundary,0.7435,res::down_blocks.0.resnets.1
B,199,boundary,0.7427,res::down_blocks.0.resnets.1
